lat,long,tbs-pasto,ur-pasto,tgn-pasto,tpo-pasto,tbs-sombra,ur-sombra,tgn-sombra,tpo-sombra,posicao,local,classe
-8.61950,-36.61308,32381,39641,17891,17259,34492,30308,34519,14570,1,0,3
-8.61944,-36.61312,32536,38413,17891,16895,34942,29725,34757,14656,1,0,3
-8.61940,-36.61309,32639,37243,17938,16493,34783,29311,34651,14302,1,0,4
-8.61953,-36.61309,32639,37243,17891,16493,34783,29311,34651,14302,1,0,3
-8.61939,-36.61309,32562,36897,17891,16276,34995,29693,34757,14685,1,0,3
-8.61953,-36.61305,33209,37535,17891,17122,35155,29705,34810,14828,1,0,3
-8.61952,-36.61306,33209,37535,17938,17122,35155,29705,34810,14828,1,0,4
-8.61954,-36.61307,32975,36971,17891,16673,35395,29140,35102,14735,1,0,3
-8.61952,-36.61307,33183,38276,17891,17412,33183,38276,30369,17412,0,0,3
-8.61950,-36.61306,33183,38276,17891,17412,33183,38276,30369,17412,1,0,3
-8.61952,-36.61305,32820,36888,17891,16500,35102,29519,34916,14685,1,0,3
-8.61959,-36.61300,32613,36327,17891,16073,35529,29004,35049,14777,1,0,3
-8.61940,-36.61312,32613,36327,17891,16073,35529,29004,35049,14777,1,0,3
-8.61952,-36.61298,33365,35856,17938,16527,35797,28437,35342,14699,1,0,4
-8.61936,-36.61315,33495,36751,17891,17037,34413,30156,34466,14425,1,0,3
-8.61936,-36.61320,33495,36751,17891,17037,34413,30156,34466,14425,1,0,3
-8.61940,-36.61328,32175,37096,17891,16020,32381,33511,33105,14299,1,0,3
-8.61947,-36.61336,31128,38740,17938,15779,32175,33813,33105,14258,1,0,4
-8.61936,-36.61327,31128,38740,17938,15779,32175,33813,33105,14258,1,0,4
-8.61940,-36.61317,32175,37096,17938,16020,32768,33081,33521,14436,1,0,4
-8.61953,-36.61298,32227,37641,17891,16298,31893,34108,32717,14146,1,0,3
-8.61954,-36.61308,32227,37641,17938,16298,31893,34108,32717,14146,1,0,4
-8.61952,-36.61316,31868,38144,17891,16190,30722,35449,32124,13715,1,0,3
-8.61951,-36.61307,31179,38343,17891,15662,29991,35907,31561,13269,1,0,3
-8.61955,-36.61298,31179,38343,17891,15662,29991,35907,31561,13269,1,0,3
-8.61954,-36.61299,29464,39371,17891,14552,28196,39472,30369,13131,1,0,3
-8.61955,-36.61296,28369,41541,17891,14407,27161,42218,29740,13236,1,0,3
-8.61956,-36.61296,28369,41541,17891,14407,27161,42218,29740,13236,1,0,3
-8.61944,-36.61315,27702,43013,17938,14346,26256,45125,29090,13441,1,0,4
-8.61941,-36.61318,26158,46896,17891,14275,24798,50552,28245,13858,1,0,3
-8.61944,-36.61330,26158,46896,18200,14275,24798,50552,28245,13858,0,0,2
-8.61948,-36.61309,24895,52258,18200,14767,23905,56072,27825,14634,0,0,2
-8.61957,-36.61293,24146,55857,18200,15081,23256,59681,27431,14996,0,0,2
-8.61959,-36.61293,24146,55857,18200,15081,23256,59681,27431,14996,0,0,2
-8.61961,-36.61338,23593,58442,18200,15246,22729,61312,27136,14919,0,0,2
-8.61949,-36.61304,23040,60354,18200,15210,22202,63570,26818,14984,0,0,2
-8.61954,-36.61343,23040,60354,18200,15210,22202,63570,26818,14984,0,0,2
-8.61953,-36.61336,22417,62052,18200,15037,21652,65231,26353,14864,0,0,2
-8.61963,-36.61321,21963,63732,18200,15004,21246,67207,26182,14942,0,0,2
-8.61959,-36.61318,21963,63732,18200,15004,21246,67207,26182,14942,0,0,2
-8.61952,-36.61313,21557,65196,17938,14954,20841,70049,25890,15199,1,0,4
-8.61949,-36.61306,21199,66418,17938,14888,20388,72568,25501,15315,1,0,4
-8.61959,-36.61311,21199,66418,17938,14888,20388,72568,25501,15315,1,0,4
-8.61963,-36.61314,20817,67687,17938,14802,19984,74719,25016,15380,1,0,4
-8.61941,-36.61311,20460,68863,17938,14712,19651,76311,24726,15387,1,0,4
-8.61955,-36.61307,20460,68863,17938,14712,19651,76311,24726,15387,1,0,4
-8.61981,-36.61325,20150,70215,17938,14699,19365,77625,24532,15377,1,0,4
-8.61957,-36.61317,19841,71296,17938,14624,19103,79212,24581,15438,1,0,4
-8.61949,-36.61333,19841,71296,17938,14624,19103,79212,24581,15438,1,0,4
-8.61956,-36.61318,19627,73025,17938,14765,18842,80953,24992,15523,1,0,4
-8.61952,-36.61313,19389,74334,17938,14792,18628,82147,25574,15543,1,0,4
-8.61957,-36.61310,19389,74334,17891,14792,18628,82147,25574,15543,0,0,3
-8.61960,-36.61306,19151,75462,17891,14779,18366,83364,26500,15517,1,0,3
-8.61976,-36.61314,18889,76805,17891,14779,18081,84191,27456,15391,1,0,3
-8.61969,-36.61322,18889,76805,17891,14779,18081,84191,27456,15391,1,0,3
-8.61974,-36.61302,18628,77574,17938,14667,17915,84497,27628,15284,1,0,4
-8.61972,-36.61304,18414,78235,17938,14580,17772,84562,27505,15156,1,0,4
-8.61970,-36.61308,18414,78235,17891,14580,17772,84562,27505,15156,1,0,3
-8.61970,-36.61309,18247,78482,17891,14463,17653,84535,27382,15035,1,0,3
-8.61971,-36.61306,18105,78621,17891,14349,17582,84763,27604,15007,1,0,3
-8.61971,-36.61307,18105,78621,17938,14349,17582,84763,27604,15007,1,0,4
-8.61970,-36.61310,17986,78737,17891,14254,17415,85406,28543,14961,1,0,3
-8.61950,-36.61310,17891,79166,17938,14238,17249,85924,29414,14891,1,0,4
-8.61950,-36.61310,17891,79166,17938,14238,17249,85924,29414,14891,1,0,4
-8.61970,-36.61310,17772,79393,17891,14163,17130,86113,29140,14808,1,0,3
-8.61970,-36.61310,17653,79675,17891,14097,17201,85720,28617,14807,1,0,3
-8.61950,-36.61310,17653,79675,17938,14097,17201,85720,28617,14807,1,0,4
-8.61950,-36.61310,17605,79805,17938,14073,17225,85362,27825,14766,1,0,4
-8.61970,-36.61310,17582,79995,17891,14084,17058,85565,28394,14639,1,0,3
-8.61970,-36.61310,17582,79995,17891,14084,17058,85565,28394,14639,1,0,3
-8.61960,-36.61310,18937,80259,20174,15456,18438,86228,29740,16115,0,0,2
-8.61960,-36.61310,18913,80170,20198,15417,18461,85650,29015,16033,0,0,2
-8.61970,-36.61310,18913,80170,20198,15417,18461,85650,29015,16033,0,0,3
-8.61960,-36.61310,18937,80006,20317,15411,18533,84884,27727,15962,0,0,2
-8.61960,-36.61310,18961,79759,20317,15390,18628,84266,27579,15941,0,0,2
-8.61960,-36.61310,18961,79759,20317,15390,18628,84266,27579,15941,0,0,2
-8.61970,-36.61310,18985,79960,20388,15449,18628,84808,28072,16042,0,0,3
-8.61960,-36.61310,18913,79636,20293,15321,18580,84280,27186,15897,0,0,2
-8.61960,-36.61310,18913,79636,20293,15321,18580,84280,27186,15897,0,0,2
-8.61960,-36.61310,18747,79741,19888,15178,18461,84376,27333,15798,0,0,2
-8.61970,-36.61310,18604,80215,19793,15123,18224,85205,28270,15718,0,0,3
-8.61960,-36.61310,18604,80215,19793,15123,18224,85205,28270,15718,0,0,2
-8.61970,-36.61310,18485,80357,19627,15032,18129,85840,29265,15741,0,0,3
-8.61970,-36.61310,18366,80583,19484,14956,18033,85939,29540,15665,0,0,3
-8.61960,-36.61310,18366,80583,19484,14956,18033,85939,29540,15665,1,0,2
-8.61970,-36.61310,18461,80744,19841,15077,18081,86047,29290,15732,0,0,3
-8.61970,-36.61310,18438,80683,19722,15043,18152,85603,29065,15721,1,0,3
-8.61970,-36.61310,18438,80683,19722,15043,18152,85603,29065,15721,1,0,3
-8.61950,-36.61310,18414,80845,19770,15048,18010,86030,29464,15659,1,0,4
-8.61950,-36.61310,18414,80957,19793,15068,18010,86224,29941,15694,1,0,4
-8.61970,-36.61310,18414,80957,19793,15068,18010,86224,29941,15694,1,0,3
-8.61970,-36.61310,18366,80891,19746,15010,18033,85915,29165,15661,1,0,3
-8.61970,-36.61310,18176,80849,19318,14816,17891,85760,29065,15493,1,0,3
-8.61970,-36.61310,18176,80849,19318,14816,17891,85760,29065,15493,1,0,3
-8.61970,-36.61310,18105,81224,19389,14812,17701,86633,30167,15464,1,0,3
-8.61970,-36.61310,18176,81295,19555,14894,17843,86185,29590,15523,0,0,3
-8.61970,-36.61310,18176,81295,19555,14894,17843,86185,29590,15523,0,0,3
-8.61970,-36.61310,18224,81333,19603,14948,17891,86123,29414,15559,1,0,3
-8.61970,-36.61310,18224,81417,19603,14962,17891,86437,30091,15615,1,0,3
-8.61970,-36.61310,18224,81417,19603,14962,17891,86437,30091,15615,1,0,3
-8.61970,-36.61310,18033,81653,19199,14817,17701,86729,30343,15481,0,0,3
-8.61960,-36.61310,18033,81764,19365,14836,17748,86932,30849,15564,0,0,2
-8.61960,-36.61310,18033,81764,19365,14836,17748,86932,30849,15564,0,0,2
-8.61960,-36.61310,18176,81712,19698,14967,18081,85756,29115,15679,0,0,2
-8.61960,-36.61310,18889,81646,21533,15655,18176,86505,30318,15908,0,0,2
-8.61960,-36.61310,18889,81646,21533,15655,18176,86505,30318,15908,0,0,2
-8.61960,-36.61310,19365,80631,21652,15941,18747,84491,27875,16100,0,0,2
-8.61960,-36.61310,19318,80621,21413,15893,18842,84661,28245,16224,0,0,2
-8.61960,-36.61310,19318,80621,21413,15893,18842,84661,28245,16224,0,0,2
-8.61960,-36.61310,20793,78592,18200,16966,19817,82612,26744,16794,0,0,2
-8.61960,-36.61310,21390,74122,18200,16688,20365,77753,25550,16373,0,0,2
-8.61960,-36.61310,21390,74122,18200,16688,20365,77753,25550,16373,0,0,2
-8.61960,-36.61310,21485,73590,18200,16674,21652,74207,25283,16883,0,0,2
-8.61960,-36.61310,21628,73327,18200,16760,21294,74626,25234,16626,0,0,2
